coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
ambercoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4854,-0.16,-0.02,-0.33,-0.33,0.109,0.0,0.014,-0.01
revolvercoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,264,-0.01,-0.0,-0.01,-0.01,-0.307,-2.0,0.025,0.003
spacecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,280,-0.05,0.22,3.43,3.43,-0.528,3.5,0.09,-0.063
eternity,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1481,-0.04,0.14,2.22,2.22,-0.053,-39.5,0.04,0.023
signatum,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,569903,0.22,0.07,1.05,1.05,0.362,-18.5,-0.001,0.107
pascal lite,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
virtacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,174,0.03,0.12,1.94,1.94,-5.167,-19.5,0.29,-0.097
shadow token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rubies,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,142,0.06,0.08,1.23,1.23,0.104,-1.5,0.018,-0.03
quatloo,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,38,0.37,0.23,3.64,3.64,-0.117,3.0,0.014,0.003
prime-xi,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,144,0.21,0.26,4.08,4.08,-0.147,-9.5,0.044,-0.033
eaglecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,54589,0.3,0.27,4.21,4.21,0.34,-1.5,0.073,-0.067
mustangcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,21,0.33,0.22,3.51,3.51,-0.209,4.0,0.074,-0.013
fincoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,26121,0.32,0.07,1.07,1.07,0.767,2.5,0.014,-0.01
quebecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1365,0.09,0.12,1.91,1.91,-0.3,0.0,0.059,-0.013
globaltoken,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,29499,0.25,0.16,2.54,2.54,-0.47,-15.0,0.046,-0.04
kurrent,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,44,0.1,0.19,3.0,3.0,0.381,-18.5,0.034,0.027
macron,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,7427,-0.12,0.15,2.33,2.33,0.364,-20.0,0.201,0.117
ccore,9 Nov 2017,30 Nov 2017,21.0,181.0,12,fintech,8,1400000.0,N/A,N/A,0.45,2056,0,3936,N/A,N/A,1.163,15228,0.11,0.12,1.84,1.84,0.26,15.5,0.04,-0.08
theresa may coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hempcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,1541,0,N/A,N/A,N/A,0.0,19,0.26,0.16,2.58,2.58,-0.039,-9.5,0.027,-0.007
gameunits,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,556,0.24,0.19,3.02,3.02,0.395,3.5,0.154,-0.057
sixeleven,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,933,0.17,0.16,2.47,2.47,0.436,-17.5,0.048,0.013
catcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,162193,-0.54,0.02,0.25,0.25,-0.122,0.0,0.013,-0.053
zurcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,24,0.17,0.13,2.09,2.09,0.161,-1.0,0.105,0.007
ecocoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,167331,-0.04,-0.2,-3.25,-3.25,-0.031,0.5,0.001,-0.02
globalcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0.0,-0.01,0.13,2.01,2.01,0.9,4.0,0.165,-0.04
boat,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neuro,N/A,N/A,N/A,N/A,12,other,N/A,23400000.0,36000000.0,0.65,0.12,6774,0,N/A,N/A,N/A,-0.948,17185,0.32,0.09,1.5,1.5,-0.197,-5.0,0.037,0.017
tajcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,9,0.15,0.08,1.27,1.27,-0.17,4.0,0.031,0.013
xios,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,78182,0.16,0.17,2.77,2.77,-0.208,-59.0,0.032,0.07
secretcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,3579,0.05,0.1,1.59,1.59,0.034,20.5,0.022,-0.037
dalecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,24940,0.26,0.2,3.12,3.12,-0.327,-6.0,0.043,0.01
acoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,279,0,N/A,N/A,N/A,0.0,340,-0.14,0.09,1.44,1.44,0.214,-1.0,0.026,-0.02
firecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,131,0.26,0.2,3.19,3.19,-0.014,10.0,0.174,-0.08
beatcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,192,0.22,0.14,2.27,2.27,0.151,2.5,0.09,0.007
soilcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,149,0.12,0.16,2.51,2.51,-1.376,-1.0,0.085,-0.07
zetamicron,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,7547,0.08,0.21,3.3,3.3,-0.13,-55.5,0.068,0.353
paycon,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,75,0.25,0.19,3.05,3.05,0.414,-49.0,0.092,0.08
visio,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1497,0.04,0.13,2.06,2.06,-0.226,-20.5,0.024,-0.013
eurocoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0,0.36,0.28,4.51,4.51,0.22,-3.0,0.08,0.013
mincoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0.0,0.22,0.05,0.84,0.84,3.579,-18.5,0.103,0.09
advanced inte...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
honey,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,27,0.32,0.2,3.2,3.2,-0.161,-4.0,0.1,-0.023
allion,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,213,0.28,0.24,3.8,3.8,0.263,-3.5,0.05,-0.04
javascript token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sooncoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,123,-0.04,0.02,0.26,0.26,0.029,-1.5,0.048,0.007
global tour coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
brother,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitasean,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2752,0.35,0.14,2.18,2.18,-0.287,-11.0,0.056,-0.033
digital rupees,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
exchangen,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,73395,0.19,0.19,3.03,3.03,-1.259,46.5,0.081,0.333
trident group,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
x-coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1974,0.03,0.09,1.5,1.5,-0.285,0.0,0.057,-0.057
funcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,25414,0.22,0.11,1.74,1.74,-0.084,-7.0,0.031,0.043
crypto,N/A,N/A,N/A,N/A,12,other,N/A,1750000.0,4000000.0,0.44,15.31,1530,0,N/A,N/A,N/A,-1.0,0,0.3,0.25,3.9,3.9,0.084,9.0,0.119,-0.187
goldpieces,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1249,-0.0,0.02,0.36,0.36,0.064,-11.5,0.041,0.04
postoken,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4413,0.09,0.12,1.83,1.83,0.155,-1.5,0.024,0.007
coinonat,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,341,0.2,0.17,2.71,2.71,0.044,-3.0,0.075,-0.027
flaxscript,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,8,0.08,0.12,1.91,1.91,0.637,-1.0,0.089,-0.073
dollarcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,142,0.2,0.18,2.86,2.86,0.814,-6.5,0.058,-0.047
compucoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,22,0.17,0.11,1.77,1.77,0.325,-6.5,0.113,-0.02
high voltage,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
agrolifecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,42,0.22,0.12,1.9,1.9,-0.307,-3.0,0.137,0.003
money,N/A,N/A,N/A,N/A,12,fintech,N/A,14000700.0,41500000.0,0.34,0.005,16633,0,N/A,N/A,N/A,-0.997,142,0.46,0.21,3.26,3.26,-0.288,-13.5,0.042,-0.027
benjirolls,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,3,0.33,0.17,2.63,2.63,0.023,-2.5,0.034,0.017
marijuanacoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,14582,0.22,0.07,1.07,1.07,-0.28,-6.5,0.02,-0.05
bitcoin 21,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitcoin planet,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
songcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,31,0.19,0.15,2.38,2.38,0.162,-1.5,0.036,0.0
elysium,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,27062,-0.15,0.05,0.77,0.77,-0.3,-9.0,0.058,0.277
roofs,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,80024,0.14,0.15,2.32,2.32,-0.499,7.0,0.042,0.07
debitcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,6712,0,N/A,N/A,N/A,0.0,69,0.33,0.2,3.18,3.18,0.049,-29.5,0.097,0.053
bitquark,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,6,-0.13,0.16,2.58,2.58,-0.049,-19.5,0.054,-0.03
gold pressed ...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
virta unique ...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
chronos,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,24,0.26,0.18,2.88,2.88,-0.106,-12.5,0.079,-0.247
shilling,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,11,0.25,0.16,2.47,2.47,0.044,-2.5,0.24,-0.013
quazarcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,92887,-0.07,-0.01,-0.2,-0.2,-0.079,-3.0,0.012,0.003
eryllium,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,393,0.32,0.11,1.8,1.8,0.12,-9.5,0.021,0.017
allsafe,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,20168,-0.36,-0.16,-2.56,-2.56,125.294,-31.5,59.667,-0.01
cachecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,3844,0.26,0.08,1.22,1.22,4.605,-18.5,0.178,-0.07
bolenum,15 Jul 2017,14 Aug 2017,30.0,289.0,12,blockchain,N/A,19121.0,N/A,N/A,5.98,N/A,0,54555,N/A,N/A,-0.996,13218,-0.1,0.12,1.85,1.85,1.077,-7.5,0.03,0.027
kronecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,19260,0.08,-0.01,-0.23,-0.23,0.209,-2.5,0.016,-0.013
mindcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,211,0.06,0.01,0.12,0.12,0.136,6.0,0.029,-0.14
printerium,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1,0.3,0.14,2.27,2.27,0.248,-19.0,0.068,0.05
fuzzballs,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,3,-0.11,0.09,1.38,1.38,0.079,17.5,0.039,-0.01
bnrtxcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2858,0.21,0.13,2.07,2.07,-0.163,-5.5,0.027,-0.03
luna coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
zayedcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,638,-0.15,0.1,1.62,1.62,0.012,-21.5,0.024,0.11
metal music coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
icobid,09 Dec 2016,09 Jan 2017,31.0,506.0,12,other,N/A,N/A,N/A,N/A,0.0,N/A,0,N/A,N/A,N/A,0.0,808,0.25,0.14,2.2,2.2,0.788,13.0,0.027,-0.093
jobscoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4578,0.18,0.13,2.03,2.03,0.24,32.0,0.047,0.22
uro,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4318,0.25,0.16,2.5,2.5,0.05,-2.0,0.016,-0.003
jewels,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4430,0.2,-0.01,-0.09,-0.09,-0.261,10.0,0.013,-0.1
californium,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4016,-0.34,0.07,1.1,1.1,0.93,-4.5,0.1,-0.083
pioneer coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
veltor,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1,0.22,0.14,2.16,2.16,0.687,-2.0,0.026,0.003
copico,16 Oct 2017,16 Nov 2017,31.0,195.0,12,blockchain,2,N/A,N/A,N/A,0.006,1257,0,N/A,N/A,N/A,2.748,107543,0.05,0.22,3.42,3.42,-0.295,-11.0,0.024,-0.137
bioscrypto,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
master swiscoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ponzicoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,6550,-0.13,0.0,0.08,0.08,-0.353,17.0,0.037,-0.003
healthywormcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4,0.24,0.2,3.17,3.17,0.136,0.0,0.084,-0.017
interzone,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,55845,-0.02,-0.15,-2.31,-2.31,-0.726,-3.0,0.079,-0.003
creatio,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,35,0.05,0.09,1.41,1.41,0.104,-1.0,0.038,0.077
independent m...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
starcash network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
slevin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,80710,0.03,0.15,2.36,2.36,-0.199,-17.0,0.059,0.013
arbit,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,21,0,N/A,N/A,N/A,0.0,247,0.2,0.19,2.99,2.99,-0.015,-11.0,0.067,-0.017
letitride,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,33267,-0.1,-0.11,-1.68,-1.68,-0.158,7.5,0.021,-0.023
dappster,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2771,-0.13,-0.01,-0.18,-0.18,0.067,9.5,0.024,-0.073
iconic,01 Mar 2018,31 Mar 2018,30.0,60.0,12,fintech,N/A,N/A,N/A,N/A,N/A,2978,0,N/A,N/A,N/A,0.0,180,0.24,0.16,2.48,2.48,0.499,-1.5,0.036,-0.017
dreamcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,90712,-0.25,0.02,0.25,0.25,-0.374,7.5,0.071,-0.05
gbcgoldcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,140,0.13,0.1,1.55,1.55,-0.498,6.5,0.052,-0.043
cannation,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1040,0.19,0.21,3.36,3.36,0.099,-2.5,0.036,-0.01
piecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,572,0.01,0.12,1.86,1.86,0.508,-10.0,0.042,-0.02
litecred,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,672,-0.01,0.12,1.91,1.91,-0.859,2.0,0.112,-0.003
milocoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1151,0.16,0.16,2.58,2.58,-0.786,-19.0,0.132,-0.077
impulsecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1053,-0.08,0.1,1.61,1.61,0.111,11.5,0.027,-0.043
geertcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,7335,0.19,0.1,1.62,1.62,-0.783,8.5,0.068,-0.0
glasscoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,21293,0.12,0.07,1.17,1.17,-0.234,-82.5,0.003,0.02
vectorai,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tagrcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,118,-0.07,0.07,1.16,1.16,-0.043,-3.0,0.047,-0.037
kingn coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cryptoworldx ...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
plncoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,69,0.34,0.11,1.69,1.69,0.155,1.0,0.053,0.027
steps,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,793,0.25,0.21,3.38,3.38,0.189,15.0,0.052,-0.103
destiny,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,796,0.46,0.19,2.95,2.95,-0.555,9.0,0.035,-0.03
rsgpcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4653,0.18,0.13,2.04,2.04,-0.026,-7.0,0.029,0.003
credence coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playercoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,28765,0.07,0.13,2.12,2.12,1.342,13.0,0.024,0.037
anarchistsprime,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,131,0.12,0.1,1.52,1.52,-7.024,-37.5,0.286,0.033
